Territorialidades,Taxa de Distorção Idade-Série no fundamental 2017,Taxa de Distorção Idade-Série no médio 2017,IDEB anos finais do ensino fundamental 2017,% de alunos do ensino fundamental em escolas com internet 2017,% de docentes do fundamental com formação adequada 2017,Rendimento médio no setor formal 2017,Transferência per capita do Bolsa Família 2017,Transferência per capita do Benefício de Prestação Continuada 2017,Taxa de mortalidade infantil 2017,% de nascidos vivos com pelo menos sete consultas de pré-natal 2017,% de nascidos vivos com baixo peso ao nascer 2017,Taxa bruta de mortalidade 2017,% de internações por doenças relacionadas ao saneamento ambiental inadequado 2017,% de internações por condições sensíveis à atenção primária 2017,% de analfabetos com 15 anos ou mais de idade no Cadastro Único 2017,% de extremamente pobres no Cadastro Único pós Bolsa Família 2017,% de pessoas inscritas no Cadastro Único que recebem Bolsa Família 2017,% de cobertura vegetal natural 2017,% da população urbana residente em domicílios ligados à rede de abastecimento de água 2017,% da população urbana residente em domicílios ligados à rede de esgotamento sanitário 2017,% de esgoto tratado 2017,% da população urbana atendida por serviços regulares de coleta de resíduos domiciliares 2017,População total 2017
Cunha (SP),"14,1","14,2",5,"81,58","52,7","1113,24","81,93","251,8","4,15","80,08","4,15","6,57","1,39","22,02","6,65","13,3","56,97","30,31",100,"52,95","47,87",,21929
Cunhataí (SC),"13,5","10,9","5,2",100,"84,4","1102,58","5,21","23,99",0,"94,12","5,88","6,65","12,35","35,66","17,19","17,2","54,84","29,44",100,,,100,1955
Cuparaque (MG),"15,9","28,5","4,4","99,04","71,2","847,33","167,78","63,93","16,67","66,67",10,"9,01","3,42","26,87","13,24","25,9","67,54","4,96","17,7",,,"77,18",4995
Cupira (PE),"26,5",33,4,"91,98","29,9","825,26","176,24","334,58","23,5","71,8","7,83","10,22","0,22","15,1","20,88","39,08","74,22","10,49",100,"80,12",0,100,23977
Curaçá (BA),"29,7","42,2","3,6","61,33","40,4","1274,75","257,99","73,4","10,58","67,55","7,05","5,55","1,28","21,25","10,9","52,13","79,03","75,91","99,36","7,05","97,97","87,13",35524
Curimatá (PI),35,"51,1","3,4","54,52","58,1","915,92","251,32","279,94","16,13","57,53","8,6","6,17","15,16","47,62","10,29","42,55","77,26","90,45","97,81",,,,11190
Curionópolis (PA),"21,9","44,6",4,"73,02","61,6","1999,15","206,01","312,31","17,24","53,45","6,21","7,33","11,01","41,86","11,81","18,45","83,43","27,39",100,,,,17453
Curitibanos (SC),"10,9","24,7","4,8",100,"73,9","1399,73","41,48","150,97","11,33","69,09","10,03","7,05","1,81","20,43","9,1","11,28","50,65","32,55","99,85",,,100,39566
Curitiba (PR),"7,3",19,"4,8","99,88","79,2","2495,29","17,64","107,56","8,31","89,49","8,49","5,61","0,42","13,25","6,3","14,06","37,08","14,46",100,"99,99",100,100,1908359
Curiúva (PR),13,"23,5","4,6","96,17","72,5","1074,71","72,59","150,78","10,58","80,95","6,35","5,6","2,97","27,76","9,43","20,56","63,5","22,56",100,,,"58,16",15004
Currais Novos (RN),"17,5","27,7","3,8","99,13","49,6","994,1","120,65","298,32","7,91","72,73","7,91","6,12","2,24","18,22","13,68","28,66","62,85","77,74","72,86","74,49",100,,45228
Currais (PI),"49,4",79,"2,9","45,82","9,9","1276,82","331,94",0,"14,29",60,"11,43","3,28","6,61","39,1","21,16","27,94","79,8","80,79",,,,,4871
Curral de Cima (PB),"31,1","37,5",,"91,14",41,"1073,61","436,88","143,32","14,08","54,93","11,27","6,69",0,"11,97","18,51","85,77","91,2","9,48",,,,,5232
Curral de Dentro (MG),"10,1","39,7","4,4","86,5","60,9","969,98","291,74","97,51","24,39","82,93","12,2","6,03","0,91","17,44","16,4","58,12","79,25","40,93","84,84",,,100,7623
Curralinho (PA),"46,9","67,9","2,8","32,07","33,1","1445,54","268,35","73,51","15,01","20,05","6,68","2,09","12,53","46,74","12,83","70,68","90,69","88,75",,,,,33490
Curralinhos (PI),"35,3","55,6","3,3","26,97",30,"1035,03","331,68",23,"29,41","48,53","7,35","6,64","1,03","9,52","19,2","55,43","79,2","97,78",,,,,4367
Curral Novo do Piauí (PI),32,"39,4","3,6","64,86","21,3","893,17","332,08","15,69","27,4","53,42","5,48","4,38","6,36","56,64","20,2","64,52","82,64","66,93","63,82",,,,5251
