Territorialidades,Taxa de Distorção Idade-Série no fundamental 2017,Taxa de Distorção Idade-Série no médio 2017,IDEB anos finais do ensino fundamental 2017,% de alunos do ensino fundamental em escolas com internet 2017,% de docentes do fundamental com formação adequada 2017,Rendimento médio no setor formal 2017,Transferência per capita do Bolsa Família 2017,Transferência per capita do Benefício de Prestação Continuada 2017,Taxa de mortalidade infantil 2017,% de nascidos vivos com pelo menos sete consultas de pré-natal 2017,% de nascidos vivos com baixo peso ao nascer 2017,Taxa bruta de mortalidade 2017,% de internações por doenças relacionadas ao saneamento ambiental inadequado 2017,% de internações por condições sensíveis à atenção primária 2017,% de analfabetos com 15 anos ou mais de idade no Cadastro Único 2017,% de extremamente pobres no Cadastro Único pós Bolsa Família 2017,% de pessoas inscritas no Cadastro Único que recebem Bolsa Família 2017,% de cobertura vegetal natural 2017,% da população urbana residente em domicílios ligados à rede de abastecimento de água 2017,% da população urbana residente em domicílios ligados à rede de esgotamento sanitário 2017,% de esgoto tratado 2017,% da população urbana atendida por serviços regulares de coleta de resíduos domiciliares 2017,População total 2017
Rio do Campo (SC),"9,5","21,6","5,6",100,70,"1211,32","11,03","119,42",0,"72,34","6,38","6,95","1,68","28,18","7,91","6,95","25,88","54,46",100,,,100,6043
Rio Doce (MG),"18,9","34,1","4,4",100,"84,7","1170,43","68,66","64,42",,"78,57",,"7,24","1,1","20,24","9,62","12,15",35,"16,17",100,"99,55",100,"99,55",2623
Rio do Fogo (RN),"35,8",58,"2,8","50,51","44,4","1150,89","301,61","28,74","5,65","61,02","6,78","5,78","0,68","8,62","12,1","48,05","83,32","26,27","98,67",,,,10901
Rio do Oeste (SC),"11,2","15,9","4,8",100,"71,4","1174,47","19,4","56,15","8,93","85,71","6,25","10,59",0,"12,13","9,21","18,17","49,14","35,63",100,,,100,7463
Rio do Pires (BA),"25,2","27,6","3,6","95,02",30,"879,35","124,96","104,71","19,23","69,23","8,65","4,78","3,97","31,51","9,37","48,03","66,91","70,8",100,,,"93,27",12130
Rio do Prado (MG),"17,7","38,3","3,6",100,"69,7","872,42","267,01","207,45","15,15","77,27","4,55","7,36","3,23","40,37","9,27","65,23","82,19","11,21",100,"73,83",0,100,5302
Rio dos Bois (TO),"30,7","48,4","4,3","94,61","42,2","859,04","141,59","80,04",0,50,"4,76","6,41","2,46","22,73","15,2","12,67","55,87","64,9",100,,,,2810
Rio dos Cedros (SC),"9,9","14,4","5,4",100,"56,5","1222,5","10,44","44,66",0,"73,74","8,08","6,65","2,42","29,05","6,78","12,44","47,6","72,96",100,,,100,11431
Rio dos Índios (RS),"6,7","24,7","5,2","91,52","47,5","1319,29","100,88","25,02",,"64,52","3,23","8,74","2,55","27,84","12,33","35,63","54,5","16,44",100,,,100,3317
Rio do Sul (SC),"12,9","19,2","4,8",100,"69,5","1641,24","9,02","64,72","13,26","80,11","8,73","6,06","0,4",16,"7,12","6,79","44,22","50,13",100,,,"99,55",69188
Rio Espera (MG),"6,3",15,"5,2","78,5","46,2","939,15","137,94","82,8",0,80,8,"11,16","1,42","37,27","7,14","24,27","71,08","20,79","72,72",100,0,"99,74",5825
Rio Formoso (PE),"26,7","36,1","3,5","74,07","39,8","1109,89","233,59","191,41","14,88","60,71","8,93","5,39","0,84","17,43","15,09","61,23","79,12","23,47","81,82","27,73",100,80,23379
Rio Fortuna (SC),"19,4","12,3","5,1",100,84,"1167,46","9,44","37,01",0,"90,91","5,19","6,95","5,91","32,99","8,29","10,19","37,04","51,16",100,,,100,4606
Rio Grande da Serra (SP),"5,8","11,3",5,"67,05","62,4","1434,98","50,76","87,12",8,"66,24","9,12","5,04","0,1","11,27","6,63","21,13","57,35","67,7","85,96","52,33",85,100,49408
Rio Grande do Piauí (PI),"42,6","53,3","3,4","69,69","37,2","870,64","317,04","51,77",0,"58,57","8,57","4,11","0,67","17,89","15,9","78,48","82,57","89,53","97,89",,,,6331
Rio Grande (RS),"27,7","45,8","4,2","99,54","68,5","2059,88","24,9","146,6","11,56","69,62","8,85","8,9","0,28","24,29","5,98","5,68","43,67","64,17",100,"29,36",100,100,209378
Riolândia (SP),7,6,"4,7",100,"90,2","1285,94","52,58","156,34","9,09","73,64",10,"5,71","1,09","17,1","10,88","24,92","54,73","4,53","95,05","94,04",100,100,12086
Rio Largo (AL),"29,4","37,1","4,1","65,11",41,"1035,54","151,85","252,62","12,65","44,27","9,98","6,6","1,18","18,56","12,24","32,84","72,62","21,45","91,39","32,61",100,,76019
Rio Manso (MG),"18,7","23,4","4,8",100,"47,2","953,15","49,57","64,47",0,"70,91","7,27","4,16","0,45","7,49","5,86","10,6","58,79","20,38",100,,,100,5774
Rio Maria (PA),"22,2","40,8",4,"92,17",42,"1086,29","74,66","194,74","14,65","26,74","6,96","6,27","7,81","42,16","13,9","14,95","53,48","27,11",,,,,17705
Rio Negrinho (SC),"9,1","18,2","4,7",100,80,"1254,12","13,03","87,01","8,4","82,02","6,72","6,42","1,59","19,96","8,2","6,07","38,6","39,29",100,"20,87",100,100,42029
Rio Negro (MS),"32,7","39,6","4,1",100,"78,2","1051,66","59,58","282,56",,"75,86","5,17","8,69","3,79","37,37","14,5","13,41","40,17","44,6","98,72",,,100,4834
Rio Negro (PR),"7,2","12,4","5,1",100,"68,2","1407,98","37,95","70,37","9,85","87,93","9,61","6,11","0,72","24,96","4,59","17,77","42,77","37,9",100,"57,37",100,100,33857
Rio Novo do Sul (ES),"23,6",31,5,"89,88","40,3","1130,27","44,7","114,68",0,"63,87","9,68","6,04","0,42","13,15","9,1","24,11","57,54","30,05","95,5",,,100,12095
Rio Novo (MG),"14,6","44,9","4,4","99,05","58,4","825,49","69,08","188,21",0,"70,97","3,23","7,49","0,44","17,35","9,21","25,9","51,77","12,5","83,27",100,0,100,9084
Rio Paranaíba (MG),"7,1","29,6","5,4","93,32",64,"1220,03","53,68","100,76",0,"83,33","9,03","6,42","3,12","41,51","7,88","15,75","49,95","27,97",100,,,,12462
Rio Pardo de Minas (MG),"5,2","16,3","4,5","77,12","58,5","914,88","155,63","179,24","8,06","89,52","5,65","5,48","4,54","33,39","12,69","42,84","73,81","60,48","85,38","26,1",100,100,31016
Rio Pardo (RS),"25,2","32,6","4,1",95,"51,9","1271,69","61,17","138,63","9,95","66,67","8,21","7,95","1,34","20,3","8,64","21,96","66,36","38,09",100,,,100,39000
Rio Piracicaba (MG),"6,4","22,6","5,3","88,18","75,5","1415,14","78,66","150,78",0,"72,15","5,7","7,39","2,26","41,74","4,78","18,71","59,17","27,81","90,42",100,0,100,14624
Rio Pomba (MG),"15,2","28,3","3,6",100,"60,8","1540,83","47,72","251,72","13,95","80,93","8,84","8,25","0,42","32,03","8,68","21,92","48,66","14,97","93,59","99,32",0,100,18061
Rio Preto da Eva (AM),"32,6","46,6","4,3","34,45","56,1","1049,68","147,82","163,5","4,74","55,45","5,45","3,06","1,74","33,66","7,18","21,85","82,09","96,88",,,,,32001
Rio Preto (MG),32,35,"5,2","95,92","54,3","780,85","112,83","277,6","44,44","71,11","15,56","6,85","7,91","62,25","11,29","34,04","59,1","41,35","97,28",,,,5544
Rio Quente (GO),"17,7","40,4","5,1",100,"48,1","1361,79","58,36","81,9","17,24","68,97","8,62","4,38",0,"5,75","6,62","16,49","38,55","42,49",100,"27,01",100,100,4112
Rio Real (BA),"23,5","42,8",3,"64,24","19,6","995,68","171,39","156,26","16,29","52,34","8,35","6,78","3,45","34,05","13,17","44,07","77,07","17,84","99,26",,,100,41767
Rio Rufino (SC),"16,6","24,3","4,5","98,4","82,3","1170,19","80,32","71,76",0,"75,86","6,9","4,02","0,53","21,39","8,44","35,63","67,89","71,86","99,57",,,100,2489
Rio Sono (TO),"19,3","40,7","4,3","75,05","27,4","896,41","183,67","85,7","28,99","72,46","13,04","5,37",0,"15,91","10,98","18,81","76,79","97,39",100,,,,6512
Rio Tinto (PB),"33,2","45,3","3,4","57,87","50,4","901,51","195,99","207,64","19,94","64,1","7,12","7,82","0,65","9,09","12,18","48,2","83,98","26,12","95,54",,,,24154
Rio Verde de Mato Grosso (MS),"28,3","41,1","4,2",100,"72,6","1149,27","131,19","310,17","17,79","57,65","5,34","6,69","1,93","19,21","10,56","34,61","51,9","55,73","99,03","9,51",100,"99,51",19569
Rio Verde (GO),"10,3","17,5","5,5","99,16","55,8","1527,36","33,22","143,06","10,98","62,41","7,33","4,87","1,2","19,98","9,72","5,23","53,07","22,73",100,"60,3",100,"97,42",217048
Rio Vermelho (MG),"24,7","38,8","3,6","62,16","45,8","861,31","114,05","151,21",0,"65,19","8,15","7,21","5,1","45,66","13,39","23,18","67,22","52,73","89,75",100,0,100,13453
Riozinho (RS),15,23,"5,3","67,25","29,4","1128,7","12,31",56,0,"86,67",,"6,08","0,3","22,29","13,01","6,28","29,29","82,08","78,9",,,100,4607
Riqueza (SC),"13,9","24,3","4,9",100,"86,9","1217,67","35,3","48,42",,"76,79","14,29","7,71","7,64","30,56","7,71","19,3","65,89","32,91",100,,,100,4670
Ritápolis (MG),"12,3","42,4","5,2","93,08","44,7","964,1","95,83","143,06",0,"35,56","6,67","9,72",0,"21,51","4,36","27,42","49,48","17,54","98,68",100,0,,4834
Riversul (SP),"5,8",14,"5,3",100,"77,2","1156,14","123,04","160,54","15,87","85,71","9,52","8,46",0,"20,68","11,16","36,51","63,39","17,21",100,"93,89",100,100,5792
Roca Sales (RS),"14,9","30,7","4,3",100,55,"1165,84","9,88","59,71","10,2","80,61","10,2","9,19",0,"22,82","7,16","19,71","38,18","63,29","87,54",,,100,11101
Rochedo de Minas (MG),"30,1","63,9",5,100,84,"923,4","110,55","99,14",0,"78,57","10,71","5,67","1,48","37,1","5,44","7,57","74,43","10,74",,,,100,2293
Rochedo (MS),"22,9","25,3","4,8",100,"74,3","1201,85","96,62","182,66",0,"69,44","4,17","6,17","0,56","11,69","12,72","23,34","50,28","32,53",,,,,5346
Rodeio Bonito (RS),"12,4","16,7","5,8",100,"50,6","1217,85","39,36","155,55",0,"96,94","13,27","7,88","2,45","16,94","6,73","10,09","44,5","16,99",100,,,100,5967
Rodeio (SC),"9,7","24,1","5,2",100,"58,4","1247,46","6,04","45,37","15,04","79,7","9,77","7,75","0,98","21,82","8,2","12,29","33,94","67,93","84,8",,,"96,85",11488
Rodeiro (MG),"12,8",37,"4,2","96,27","72,8","1138,3","36,91","124,07","18,87","71,7","7,55","7,51","5,96","24,04","4,89","12,36","45,18","6,88",100,"98,77","19,73",100,7857
Rodelas (BA),"30,1","38,2","4,1","83,9","19,4","958,61","372,83","73,94","15,54","71,5","6,74","7,23","0,39","11,83","8,77","41,46","92,37","58,03","84,12","84,12",0,,9405
Rodolfo Fernandes (RN),"23,9","44,6","3,8","99,41","48,5","955,74","220,65","118,42",0,"80,3","7,58","6,6","3,89","19,58","21,88","19,76","66,47","36,76",100,,,,4545
Rolador (RS),"16,5","34,7","4,6",100,"36,2","1535,51","65,98","34,67",0,80,,"8,75","0,5","20,51","7,27","26,46","48,73","19,02",100,,,,2515
Rolândia (PR),"11,3","19,6","4,5",100,"71,5","1339,44","24,97","142,93","21,72","91,52","8,27","6,58","0,9","25,01","11,53","12,38","33,48","7,27",100,"63,84",100,100,64726
Rolante (RS),14,"28,7","4,7","99,35","54,1","1195,48","21,11","72,27","3,91","83,59","8,59","7,6","0,88","18,28","7,25","7,41","46,52","64,44","66,67",,,"99,51",20920
Rolim de Moura (RO),"16,4","31,5","5,3","90,92","73,2","1074,5","25,85","199,99","5,19","64,49","5,61","4,61","4,24","29,53","9,86","7,78","43,63","13,38",100,,,"96,39",57074
Romaria (MG),"12,6","33,3","4,7",100,"58,1","1064,31","57,67","101,33","30,3","81,82","15,15","8,78","0,5","24,6","5,86","39,27","57,22","27,52",,,,,3644
Romelândia (SC),"16,7","20,9",5,100,"69,1","1241,05","49,52","95,49",0,"65,96","6,38","7,96","0,35","15,67","6,7","21,62","40,49","29,02",100,,,100,5022
Roncador (PR),"9,6","31,1","4,4",100,"72,8","1217,2","43,05","255,08","18,29","89,02","10,98","8,07","4,25","34,65","13,91","5,74","40,38","23,24",100,,,"99,22",10779
Ronda Alta (RS),"16,3","28,7","4,8",100,"57,9","1227,91","63,4","85,16",0,"88,29","7,21","8,04","2,92","33,16","6,69","30,62","50,62","5,58","94,53",,,100,10695
Rondinha (RS),"6,6","13,1","4,8",100,"50,4","1377,66","28,75","54,81",0,"97,5",10,"9,46","0,82","31,82","7,74","15,21","31,75","11,24",100,"54,16",100,100,5497
Rondolândia (MT),"15,8","41,6","4,2","70,02","35,7","964,46","90,75","34,8",0,"72,73","3,03","1,82",0,0,"7,47","19,01","64,83","86,15","99,21",,,"98,43",3854
Rondon do Pará (PA),"31,2","41,1","3,4","82,44","54,9","1147,91","102,85","157,93","11,51","60,53","5,1","4,71","21,3","49,35","15,14","26,85","75,89","56,61","93,72",,,100,50925
Rondonópolis (MT),"3,1",22,"4,8","91,6","63,1","1524,33","36,51","225,05","11,86","72,98","8,27","5,74","0,69","19,68","9,12","6,86","41,83","32,55",100,"99,75","96,85",100,222316
Rondon (PR),"12,9","30,6","4,3",100,"72,1","1192,17","40,2","94,15","14,81","81,48","5,93","6,58","7,93","35,25","10,08","15,78","38,83","9,68",100,"71,56",100,100,9581
Roque Gonzales (RS),"21,6","28,9","4,9",100,"41,2","1346,14","43,71","123,93",0,"70,89","6,33","9,11","8,47","44,84","7,88","11,12","35,43","19,39","97,07",,,100,7245
Rorainópolis (RR),27,"30,2","3,7","67,54","50,6","960,15","154,9","139,68","8,88","46,89","4,97","4,68","1,93","28,06","11,27","35,29","73,04","94,88",95,,,100,28215
Rosana (SP),5,"11,3","4,6","92,47","68,1","1535,39","45,3","125,35","13,04","85,65","6,09","7,64","0,45","23,69","10,02","23,61","53,42","10,81",100,100,100,100,17795
Rosário da Limeira (MG),"9,6","37,4","5,2",100,"57,7","848,89","60,8","103,34",40,84,2,"7,86","0,84","26,24","10,68","13,84","50,9","24,51",100,,,100,4580
Rosário do Catete (SE),"29,5","49,8","3,4","83,86","76,1","1899,63","242,96","95,97","10,93","59,02","7,65","4,67","0,26","10,47","9,27","70,13","82,29","9,47","99,11",100,100,,10699
Rosário do Ivaí (PR),"9,1","17,9","4,4",100,"67,1","1025,77","86,67","222,34",0,"98,78","4,88","8,41","0,46","45,43","12,26","25,56","53,69","13,71",100,"87,08",100,100,5231
Rosário do Sul (RS),"21,4","37,5",,"98,55","57,6","1251,56","105,28","231,97","4,33","75,54","10,61","9,38","2,11","32,26","6,57","44,05","72,58","69,16","95,32","14,03","69,86",100,40727
Rosário (MA),15,"36,3",4,"59,43","40,3","1058,5","174,06","422,26","17,48","38,11","9,62","6,05","22,96","50,33","9,18","28,94","80,73","84,93","99,3",,,,42314
Rosário Oeste (MT),"9,1","25,1","3,7","74,57","45,5","1449,41","183,31","314,6",0,"78,26","8,7","6,33","11,38","55,41","8,68","31,03","72,39","74,61",100,,,,16908
Roseira (SP),15,"25,7","5,3",100,"73,9","1231,99","79,58","129,04","37,59","74,44","12,78","7,52","0,19","12,2","4,76","27,27","55,37","27,82","98,21","95,8",100,100,10512
Roteiro (AL),"33,9",,"4,8","75,05","60,5","821,14","287,78","97,45","7,41","51,85","9,63","5,61","1,35","14,01","25,33","36,57","86,68","15,81",,,,,6774
Rubelita (MG),"12,5","28,6","3,7","86,43","57,3","968,44","186,1","172,86","47,62","83,33",,"8,99","2,64","23,88","11,42","32,59","78,64","43,12","69,52","55,05",100,100,6789
Rubiácea (SP),"4,8","7,3","5,3","41,59","71,7","1373,09",68,"101,13","28,57","94,29",,"5,58","1,59","31,82","9,86","24,38","37,15","4,41",100,100,100,,3046
Rubiataba (GO),"5,1","16,1",6,"99,58","52,5","1361,56","43,09","202,97",0,"77,35","7,69","7,6","1,75","26,53","6,81","3,03","34,81","24,4","94,06","90,58",100,100,19994
Rubim (MG),"11,6","41,1","3,6","98,73","67,1","892,91","154,88","329,69","31,91","92,55","6,38","7,81","6,46","38,37","16,14","20,16","67,62","5,79","81,52",,,,10377
Rubinéia (SP),"6,9","10,4","5,7","45,67","70,1","1350,94","26,26","107,6",0,88,8,"6,77","0,39","17,7","5,9","10,53","29,87","2,37",100,"93,5",100,100,3102
Rurópolis (PA),"35,6","54,2","4,1","42,83",35,"1101,06","108,1","59,01","21,9","66,18","3,65","2,04","5,79","32,47","11,41","54,92","81,61","82,07",,,,100,49093
Russas (CE),"14,3","26,4","5,9","95,29","43,4","934,22","102,61","141,17","17,29","80,37","7,93","6,98","7,91","36,26","9,68","21,1","59,28","62,26","82,07","24,46",100,100,76475
Ruy Barbosa (BA),"25,2","41,5",3,"82,06","26,8","984,47","313,2","182,46","19,52","79,18","10,2","6,9","9,73","41,22","11,44","41,45","82,59","32,71",100,"7,39",100,,32009
Ruy Barbosa (RN),"25,5","46,3",4,"98,28","38,4","1295,3","188,62","98,67","25,64","84,62","10,26","5,45","0,69","18,03","16,75","43,05","60,94","67,14",100,,,,3669
Sabará (MG),"18,2",27,"4,1","97,74","80,3","1448,25","46,41","117,09","15,72","69,16","11,27","5,72","0,68","21,39","8,38","29,53","58,24","60,33","85,13","65,13",0,"99,44",135968
Sabáudia (PR),"14,4","25,3","4,8",100,"76,4","1183,28","50,2","90,63","10,31","84,54","8,25","6,86","0,72","16,83","7,81","25,33",44,"8,88",100,,,,6702
Sabinópolis (MG),"9,8","26,4","3,7","92,47",71,"958,43","82,81","384,76","30,49","85,37","8,54","7,22","3,59","28,79","11,37","10,13","53,95","42,73",100,"85,6",0,100,15936
Sabino (SP),"10,3","8,1","4,5","99,09","71,5","1244,96","64,65","126,26","17,86","80,36","10,71","12,98",0,"16,61","7,34","20,2","43,54","8,39",100,100,100,100,5549
Saboeiro (CE),"15,5","32,5",5,"63,79",24,"739,42","264,4","96,24","22,1","66,85","9,39","7,02","1,76","16,21","16,09","64,35","77,36","83,51","50,45","2,36",100,"58,23",15678
Sacramento (MG),"12,2","33,6","4,8","97,96","69,1","1155,25","27,52","193,52",0,"85,11","8,51","7,5","1,02","23,52","7,74","15,83","42,8","36,64",100,100,100,"99,31",25998
Sagrada Família (RS),"14,8","13,8","4,8","91,38","56,3","1245,75","74,63","114,39","41,67","91,67","4,17","10,84","2,91","20,5","12,56","21,65","38,62","9,89",100,,,"98,77",2676
Sagres (SP),"3,7","8,1","5,1",100,"75,9","961,42","103,3","112,28","38,46","92,31","3,85","7,75","2,12","27,87","9,88","16,91","42,4","3,37",100,100,100,100,2453
Sairé (PE),24,"20,6","4,2","89,94","24,2","1074,99","311,66","150,92","8,7","71,3","5,22","9,64","0,21","14,83","14,6","54,05","80,56","4,6",100,,,100,10065
Saldanha Marinho (RS),"9,4","43,4","6,7","50,85","57,6","1461,51","19,05","118,42",0,"79,17","12,5","5,97","0,53","15,73","6,16","7,07","18,8","6,58",,,,,2849
Sales Oliveira (SP),"9,4","9,6",5,"45,17","77,2","1256,99","39,16","89,27","7,52","84,96","16,54","6,19","0,92","17,49","6,56","18,47","51,72","9,83","98,57","98,57",0,100,11641
Salesópolis (SP),"9,1",18,"5,5","69,13",74,"1081,31","48,25","169,28","5,32","70,74","12,23","7,51","0,31","18,42","7,52","7,06","58,81","45,36","97,35","81,67",98,100,16903
Sales (SP),"7,2","13,7","5,2",100,"89,4","1252,04",77,"136,62",0,"91,67","8,33","8,63","0,85","34,73","9,51","30,65","50,65","13,29",100,100,100,100,6144
Salete (SC),"4,7","13,1","5,3",100,"67,3","1295,53","9,73","50,07","24,1","75,9","15,66","6,68","1,77","27,47","4,96","7,98","33,25","44,96",100,,,100,7634
Salgadinho (PB),"26,4",35,"3,6","93,68","50,4","977,36","306,73","30,67",0,"56,76","8,11","6,03","17,5","36,3","17,46","80,49","83,31","59,5","52,16",,,,3980
Salgadinho (PE),"24,4","25,8","3,7","80,71","27,9","983,98","182,69","20,87",0,"80,6","2,99","3,26","0,46",20,"22,69","57,8","86,04","23,94",100,,,,10747
Salgado de São Félix (PB),"33,8","41,9","3,5","50,89",23,"952,38","300,26","207,12","23,08",70,"8,46","7,49","1,01","27,47","19,47","64,85","82,08","13,22","80,15",,,100,12145
Salgado Filho (PR),"8,1","13,5","4,7",100,"83,8","985,98","35,26","156,54",0,"87,69",,"7,49","0,28","12,42","7,55","8,6","48,31","31,11",100,,,100,4003
Salgado (SE),"34,2","48,2","3,7","79,32","53,5","997,69","185,43","196,93","6,94","51,39","5,21","5,4","0,57","21,95","13,07","45,63","78,76","15,79","89,97",,,100,20168
Salgueiro (PE),"16,4","21,7","4,6","94,91","45,5","1120,38","137,21","286,46","15,2","80,75","7,4","6,48","5,23","21,82","10,36","23,36","65,73","72,47",100,"44,55",100,100,60453
Salinas da Margarida (BA),"29,1","59,3","3,3","25,99",56,"978,84","246,75","95,44","18,87","54,72","8,81","5,52","0,69","12,7","4,12","77,45","87,44","26,14",100,,,,15772
Salinas (MG),7,"22,5","4,5","93,54","76,7","956,12","85,34","324,5","10,25","80,74","7,58","6,77","1,27","24,47","12,05","27,86","56,39","31,45","90,13","72,06",100,"97,93",41678
Salinópolis (PA),"26,1","56,6","3,3","78,16","53,8","1103,61","154,73","231,76","9,88","60,79","8,4","5,03","3,59","18,35","5,54","52,11","81,36","68,49","99,98",,,,39569
Salitre (CE),"19,5","35,6","4,8","62,28","29,5","458,7","239,74","90,88","22,14","83,76","8,12","5,51","4,27","18,66","26,73","42,06","74,4","52,9","56,52","12,07",100,,16331
Salmourão (SP),"6,6","4,5","4,3","44,67",72,"1139,76","92,85","148,01","27,03","90,54","14,86","10,15","1,21","27,89","7,77","22,45","52,76","13,05","95,9","94,92",100,,5222
Saloá (PE),"29,7","34,4","4,2","80,64","24,4","1217,49","402,55","144,17","13,64","79,55","9,09","7,92","1,39","18,33","20,82","79,17","77,87","37,79","71,33",,,,15779
Saltinho (SC),"16,3","19,1","4,4",100,54,"1134,78","57,52","59,03","21,74","86,96","8,7","4,94","6,29","27,93","8,27","32,12","50,68","25,55",100,,,,3847
Saltinho (SP),"7,9","10,3","5,6",100,"95,8","1736,47","16,22","34,95","21,51","84,95","7,53","5,99","0,88","11,49","9,64","22,31","52,11","6,59",100,100,100,100,8019
Salto da Divisa (MG),"12,9","45,1","3,6","96,85","57,5","1199,71","216,14","312,37","24,1","71,08","7,23","5,47","4,46","35,77","18,61","42,49","62,88","7,87","90,19",,,,7127
Salto de Pirapora (SP),"8,4","9,5","5,3","60,47","72,1","1616,42","41,51","98,67","12,94","88,35","7,58","7,32","0,04",18,"6,58","21,1","55,13","16,49",100,"93,92",100,100,44397
Salto do Céu (MT),"5,3","26,7","4,9",100,"66,1","1071,12","63,73","238,39",0,"95,24","2,38","7,77","1,46","34,08","13,57","6,14","43,05","47,43",100,,,,3347
Salto do Itararé (PR),"6,7","18,5","5,1","56,25","85,2",880,"57,69","138,16",0,"91,18","8,82","8,14","1,67","26,29","10,73","12,82","38,87","8,66",100,"45,89",100,,5158
Salto do Jacuí (RS),24,"36,7","3,8",100,49,"1770,5","88,5","173,69",0,"84,62","11,54","6,33","0,84","20,04","7,1","21,41","70,21","19,1","98,62","40,53",0,"99,98",12490
Salto do Lontra (PR),"7,4","13,9","5,5",100,"65,8","1081,43","36,2","108,72","4,74","79,62","8,06","6,32","3,31","25,55","11,38","11,38","47,18","21,35",100,78,100,100,14713
Salto Grande (SP),"9,9",13,"5,3",100,"84,4","1326,8","44,45","211,61","9,17","86,24","8,26","7,65","1,92","27,16","10,75","11,51","46,73","7,06",100,"83,16",100,100,9287
Salto (SP),"3,9","7,6","5,3","90,87","69,5","1779,24","26,65","97,34","7,73","87,21","8,8","6,65","0,14","15,97","6,75","25,49","44,04","5,58","93,66",100,"93,55",100,116191
Salto Veloso (SC),"11,3","13,4","6,2",100,"75,7","1297,75","18,94","90,17",0,"83,72","9,3","7,52","4,13","30,4","12,42","20,97","38,63","46,69",100,,,100,4655
Salvador (BA),"31,1","44,1","3,2","98,52","58,2","2139,68","71,41","156,5","14,56","61,27","10,33","5,56","0,45","15,51","3,9","19,69","68,21","10,63","89,32","78,9","99,66","96,7",2953986
Salvador das Missões (RS),"8,9","16,4",5,100,"66,2","1504,86","9,85","28,81",0,"78,57","7,14","10,09","2,22","27,73","2,7","11,37","30,61","8,71","99,47",,,100,2776
Salvador do Sul (RS),"22,2","32,7","4,6",100,"52,8","1392,06","13,74","33,25","11,76","89,41","11,76","6,32","0,74","17,07","4,97","18,47","34,64","70,32",100,,,100,7434
Salvaterra (PA),"31,6",55,"3,7","49,3","25,3","907,11","324,35","97,9","15,87","34,92","8,47","5,5","2,47","31,45","4,07","81,2","90,31","63,93","48,58",,,"58,95",23096
Sambaíba (MA),"25,9","51,8","3,5","45,09","14,7","1216,78","220,34","143,43",0,"24,59","1,64","4,85","16,74","29,13","10,61","59,86","75,36","79,77","81,45",,,"99,97",5568
Sampaio (TO),"23,5","35,5","3,9","96,86","53,8","1061,31","254,14","40,71",0,"24,36","7,69","5,9","0,72","16,67","13,54","70,76","87,8","44,99",100,,,,4579
Sananduva (RS),"11,6","26,3","5,3","99,87","49,3","1268,59","12,07","118,5","9,66","92,27","14,01","6,28","0,06","10,39","8,67","6,07","30,29","20,96",100,,,100,16237
Sanclerlândia (GO),"7,4","11,4","5,7",100,"52,2","764,34","55,34",275,"10,42","79,17","14,58","8,34","9,93","35,02","7,4","9,32","39,91","15,92","95,64","73,66",100,,7798
Sandolândia (TO),"19,5","29,3","4,5","84,32","34,2","951,4","110,61","88,88",0,"56,41","2,56","5,57","5,99","31,82","11,5","8,54","54,52","67,23",100,,,,3410
Sandovalina (SP),"6,6","12,4","4,9",100,"71,9","1771,05","67,38","74,78","18,87","83,02","13,21","6,23","0,36","9,65","8,09","33,42","55,53","4,76",100,100,100,,4174
Sangão (SC),"18,6","27,7","4,8",100,"72,1","1108,6","23,47","53,97","4,74","73,93","6,64","4,41","1,7","36,62","9,08","10,85","58,96","16,83",100,,,100,12233
Sanharó (PE),"27,3","21,3","3,4","83,18","25,4","1014,33","176,96","119,57","17,54","72,63","6,67","6,93","1,09","19,79","20,38","58,46","83,01","33,6",100,,,100,25979
Santa Adélia (SP),"6,6","20,7","4,8","69,17","78,4","1821,61","43,01","74,16","10,93","95,08","12,02","6,72","2,18","28,54","9,16","9,48","37,11","6,59","98,25","97,22","89,77",100,15331
Santa Albertina (SP),"6,2","6,3","4,8",100,"81,8","1866,71","24,53","173,79",0,"83,08","10,77","12,34","1,34","17,58","9,48","3,25","17,92","2,18",100,100,100,,5999
Santa Amélia (PR),"12,3","32,3",5,100,"68,7","1111,61","141,25","88,13","43,48","97,83","10,87","9,44","10,46","48,16","6,11","35,42","56,74","9,12",100,,,100,3603
Santa Bárbara (BA),"43,7","49,6","2,6","54,88","24,3","1002,12","344,3","126,45","32,26","76,96","8,29","7,52","0,55","6,1","9,57","55,14","78,62","1,29",100,,,"71,99",21415
Santa Bárbara de Goiás (GO),"8,5","21,6",5,100,"38,8","947,02","82,21","171,95","10,75","65,59","3,23","6,41","7,56","29,77","11,42","31,19","58,98","20,38",100,,,100,6393
Santa Bárbara D'Oeste (SP),"4,9","9,6","5,3","97,48","76,4","1628,32","23,28","74,23","9,95","84,54","7,3","6,61","0,15","11,21","8,48","18,38","45,93","1,85",100,100,"61,92",100,191889
Santa Bárbara do Leste (MG),"13,7","22,1","5,2","80,06","65,2","910,02","154,73","172,32","12,99","75,32","10,39","6,48","4,69","17,65","8,99","38,25","78,35","22,51","96,34",,,,8180
Santa Bárbara do Monte Verde (MG),"30,2","34,7","3,4",100,"60,3","829,21","93,71","90,3",0,64,8,"4,52","1,27","25,17","11,88","21,25","53,81","39,4",,,,,3096
